Round,item,id,main_slogan,secondary_slogan,Figuration,Label,Frame1,Frame2,comments
,25_1964_35_SeoGwang_Jinro_003,25,"1924-1964 真味의 真露 EN: 1924-1964 The real taste, Jinro",NA,Personification_text,AGE IS AUTHENTICITY,SOJU ATTRIBUTES,SOJU ATTRIBUTES,
3,123_1997_25_KyeungWeol_Green_009,123,부드러운 신입생환영회에는 부드러운 그린소주 EN: Smooth Green soju for a smooth newcomer's welcome party,NA,Metonymy_other_background,BALLOON FOR PARTY,FESTIVITY,,
3,123_1997_25_KyeungWeol_Green_009,123,부드러운 신입생환영회에는 부드러운 그린소주 EN: Smooth Green soju for a smooth newcomer's welcome party,NA,Metonymy_other,BALLOON FOR PARTY,FESTIVITY,,
5,296_2004_21_JinRo_Chamjinisulro_005,296,"고마워라는 말, 괜히 쑥스럽죠? 그냥 소주한잔 할까?라고 말해보세요 EN: For some reason you feel shy saying 'Thank you', right? Try saying 'Should we have a glass of soju?' instead",소주가 있다! 참이슬이 있다! EN: There's soju! There's Chamisul!,Metonymy_nature,BAMBOO FOR CLEANLINESS,NATURE,, 
6,308_2006_20.1_JinRo_Charmiseul_003,308,"2006 참이슬 무엇이 더 좋아졌을까? EN: 2006 Chamisul, what's improved?",무한순수주의 참真이슬露 EN: Absolute purism. Chamjinisulro.,Metonymy_nature,BAMBOO FOR CLEANLINESS,NATURE,,
7,241_2006_20_Lotte_Chumchurum _001,241,"그래, 이 맛이다! 소주의 부드러움이란 EN: That's it, that's the flavour! What the softness of soju is (meant to be).",19+A108:E108.5도라 부드럽다. 회전파동공법이라 부드럽다. 알칼리환원水라 부드럽다 EN: It's smooth because it's 19.5 degrees. It's smooth because it's [made using] a rotational vibration method. It's smooth because it's [made using] alkaline reduced water.,Metonymy_other,BLUE FOR CLEANLINESS,BLUE,COLOUR,
6,740_2021_16.9_Mackis_Ijewoolinn_001,740,"맛으로만 말하는 소주들 앞에 선수입장 산소입장 EN: Sojus that are only about the taste can take a step back. Enter the newest player, the oxygen soju.",산소가 3배 더 들어있어 산뜩함이 사는 소주 EN: A refreshing soju with 3 times more oxygen,Metonymy_nature_background,BUBBLES FOR WATER,WATER,,
,221_1998_23&25_JinRo_Chamjinisulro & Jinro Gold_001,221,"주머니가 얇아도 정은 두텁게 - 소주로 돌아가자, 두꺼비로 건배! EN: Even if our wallets are thin our affection is rich - let's go back to soju, let's cheers with the bullfrog!","소주로 돌아가자, 두꺼비로 건배! EN: Let's go back to soju, let's cheers with the bullfrog!",Metonymy_nature_text,BULLFROG FOR LUCK,ANIMAL,,
6,308_2006_20.1_JinRo_Charmiseul_003,308,"2006 참이슬 무엇이 더 좋아졌을까? EN: 2006 Chamisul, what's improved?",무한순수주의 참真이슬露 EN: Absolute purism. Chamjinisulro.,Metonymy_nature,BULLFROG FOR LUCK,ANIMAL,,
6,42_1973_25_DaeSun_Daesun_001,42,경쾌한 디자인에 전통의 그맛! EN: A bright design and a traditional taste!,꼭 권합니다 EN: Highly recommended,Metaphor_other_text,LUXURIOUS OBJECT FOR QUALITY,QUALITY,,
1,92_1994_25_KyeungWeol_Green_008,92,소주요? 고정관념을 깨고 맛으로 선택하세요! EN: Soju? Break free of cliches and choose based on taste!,부드럽고 깨끗한 그린고주로 바꿔보세요 EN: Switch to smooth and clean Green soju,Metonymy_other,CONTENT FOR CONTAINER (transparent glass),LUCK,,not sure about the main metaphor/metonymy - how to connect flavour with cleanliness?There is something here with the glasses - upside down = finished drinking] - which means that it must taste good 
10,197_1996_25_JinRo_Barrel Aged Premium Soju_002,197,1년을 기다려온 숙성의 맛 - 참나무통 맑은 소주 EN: Barrel Aged Premium Soju - the mature taste after one year of waiting,"숙성되었기에 깨끗하게 깨어난다! EN: Because it's aged, you wake up feeling fresh!",Metonymy_nature,DOOR FOR BARREL,SOJU ATTRIBUTES,SOJU ATTRIBUTES,
9,76_1987_25_BoHae_Bohae_002,76,미국에 권하는 보해소주 첫잔 EN: The first glass of Bohae soju being offered to the US,우리의 보해소주가 미국 전역에 수출을 시작했읍니다 EN: Our Bohae soju is now being exported to all states in the US,Metonymy_other,FIRST GLASS FOR   GOOD WILL?,FESTIVITY,,
8,425_2017_16.9_DaeSun_Daesun_010,425,대선이 대세다 EN: Daesun is all the rage,NA,Metonymy_nature,HAT/FISH FOR SAILOR FOR WATER,WATER,,
1,753_2020_17.3_BoHae_Yipsejoo_003,753,"가인이는 잎새주이어라 EN: For Ga-in, it's Yipsejoo",우리동네 잎새주 EN: Our local Yipsejoo,Metonymy_other_background,HEART FOR LOVE,POP CULTURE,,
,340_2009_20.1_JinRo_Chamjinisul_005,340,마음까지 Fresh EN: Fresh to the heart,깨끗하고 깔끔한 소주 EN: A clean and smooth soju.,Metonymy_other_text,HEART FOR LOVE,POP CULTURE,,
6,63_1971_30_JinRo_Jinro_001,63,"집집마다 真露 두꺼비의 幸運을! EN: For every household, the luck of the Jinro bullfrog!",幸運 두꺼비를 찾으세요! EN: Look for the lucky bullfrog!,Personification,UNCLEAR,MAN,,Not really sure what the man is standing for here?
,221_1998_23&25_JinRo_Chamjinisulro & Jinro Gold_001,221,"주머니가 얇아도 정은 두텁게 - 소주로 돌아가자, 두꺼비로 건배! EN: Even if our wallets are thin our affection is rich - let's go back to soju, let's cheers with the bullfrog!","소주로 돌아가자, 두꺼비로 건배! EN: Let's go back to soju, let's cheers with the bullfrog!",Personification,MAN FOR AUTHORITY,MAN,,
8,75_1987_25_BoHae_Bohae_001,75,"전 어디서나 보해죠 EN: For me, it's always Bohae","쭉 마셔온 정든 소주 - 보해 EN: Bohae - the soju [I] always drink, the soju that has grown on [me]",Personification,MAN FOR AUTHORITY(?),MAN,,
9,431_2018_16.9_DaeSun_Daesun_002,431,대~한민국 선수 파이팅! EN: Let's go South Korea!,NA,Personification,UNCLEAR,MAN,,not sure what the male figure stands for?
